,Price,Qty
2015-08-04 09:22:17.847000,119.8281,3.0
2015-08-04 09:22:17.847000,119.8281,3.0
2015-08-04 09:22:17.847000,119.8281,1.0
2015-08-04 09:22:17.847000,119.8281,3.0
2015-08-04 09:22:18.007000,119.8281,10.0
2015-08-04 09:22:18.023000,119.8281,10.0
2015-08-04 09:22:18.100000,119.8281,10.0
2015-08-04 09:22:18.120000,119.8281,10.0
2015-08-04 09:22:18.640000,119.8281,9.0
2015-08-04 09:22:18.640000,119.8281,1.0
2015-08-04 09:22:18.663000,119.8281,4.0
2015-08-04 09:22:18.663000,119.8281,5.0
2015-08-04 09:22:18.663000,119.8281,1.0
2015-08-04 09:22:18.670000,119.8281,2.0
2015-08-04 09:22:18.673000,119.8281,2.0
2015-08-04 09:22:18.673000,119.8281,1.0
2015-08-04 09:22:18.673000,119.8281,2.0
2015-08-04 09:22:18.727000,119.8281,1.0
2015-08-04 09:22:18.727000,119.8281,2.0
2015-08-04 09:22:18.727000,119.8281,6.0
2015-08-04 09:22:18.727000,119.8281,1.0
2015-08-04 09:22:18.727000,119.8281,2.0
2015-08-04 09:22:18.727000,119.8281,8.0
2015-08-04 09:22:18.727000,119.8281,11.0
2015-08-04 09:22:18.727000,119.8281,19.0
2015-08-04 09:22:18.727000,119.8281,1.0
2015-08-04 09:22:18.727000,119.8281,1.0
2015-08-04 09:22:18.727000,119.8281,1.0
2015-08-04 09:22:18.727000,119.8281,1.0
2015-08-04 09:22:18.727000,119.8281,1.0
2015-08-04 09:22:18.727000,119.8281,1.0
2015-08-04 09:22:18.727000,119.8281,3.0
2015-08-04 09:22:18.727000,119.8281,2.0
2015-08-04 09:22:18.727000,119.8281,2.0
2015-08-04 09:22:18.727000,119.8281,1.0
2015-08-04 09:22:18.727000,119.8281,1.0
2015-08-04 09:22:18.727000,119.8281,1.0
2015-08-04 09:22:18.727000,119.8281,9.0
2015-08-04 09:22:18.727000,119.8281,2.0
2015-08-04 09:22:18.727000,119.8281,10.0
2015-08-04 09:22:18.727000,119.8281,3.0
2015-08-04 09:22:18.727000,119.8281,2.0
2015-08-04 09:22:18.730000,119.8281,1.0
2015-08-04 09:22:18.733000,119.8281,2.0
2015-08-04 09:22:18.747000,119.8281,7.0
2015-08-04 09:22:18.747000,119.8281,3.0
2015-08-04 09:22:18.747000,119.8281,2.0
2015-08-04 09:22:18.747000,119.8281,1.0
2015-08-04 09:22:18.747000,119.8281,1.0
2015-08-04 09:22:18.747000,119.8281,1.0
2015-08-04 09:22:18.747000,119.8281,2.0
2015-08-04 09:22:18.747000,119.8281,2.0
2015-08-04 09:22:18.747000,119.8281,4.0
2015-08-04 09:22:18.747000,119.8281,1.0
2015-08-04 09:22:18.757000,119.8281,1.0
2015-08-04 09:22:18.757000,119.8281,4.0
2015-08-04 09:22:18.757000,119.8281,4.0
2015-08-04 09:22:18.760000,119.8281,4.0
2015-08-04 09:22:18.760000,119.8281,1.0
2015-08-04 09:22:18.760000,119.8281,2.0
2015-08-04 09:22:18.760000,119.8281,2.0
2015-08-04 09:22:18.780000,119.8281,5.0
2015-08-04 09:22:18.780000,119.8281,4.0
2015-08-04 09:22:18.780000,119.8281,1.0
2015-08-04 09:22:18.873000,119.8281,7.0
2015-08-04 09:22:18.873000,119.8281,2.0
2015-08-04 09:22:18.873000,119.8281,1.0
2015-08-04 09:22:18.893000,119.8281,9.0
2015-08-04 09:22:18.893000,119.8281,1.0
2015-08-04 09:22:18.897000,119.8281,1.0
2015-08-04 09:22:18.897000,119.8281,1.0
2015-08-04 09:22:18.897000,119.8281,4.0
2015-08-04 09:22:18.897000,119.8281,1.0
2015-08-04 09:22:18.900000,119.8281,1.0
2015-08-04 09:22:18.900000,119.8281,4.0
2015-08-04 09:22:18.903000,119.8281,3.0
2015-08-04 09:22:18.903000,119.8281,3.0
2015-08-04 09:22:18.903000,119.8281,1.0
2015-08-04 09:22:18.903000,119.8281,2.0
2015-08-04 09:22:18.927000,119.8281,5.0
2015-08-04 09:22:18.927000,119.8281,2.0
2015-08-04 09:22:18.927000,119.8281,3.0
2015-08-04 09:22:19.087000,119.8281,10.0
2015-08-04 09:22:19.103000,119.8281,3.0
2015-08-04 09:22:19.103000,119.8281,2.0
2015-08-04 09:22:19.103000,119.8281,5.0
2015-08-04 09:22:27.153000,119.8281,2.0
2015-08-04 09:22:29.113000,119.8281,6.0
2015-08-04 09:22:36.393000,119.8359,1.0
2015-08-04 09:22:36.393000,119.8359,1.0
2015-08-04 09:22:36.727000,119.8359,2.0
2015-08-04 09:22:36.727000,119.8359,2.0
2015-08-04 09:22:36.727000,119.8359,5.0
2015-08-04 09:22:36.730000,119.8359,2.0
2015-08-04 09:22:36.730000,119.8359,1.0
2015-08-04 09:22:36.730000,119.8359,1.0
2015-08-04 09:22:36.730000,119.8359,2.0
2015-08-04 09:22:36.747000,119.8359,2.0
2015-08-04 09:22:37.647000,119.8359,3.0
2015-08-04 09:22:37.647000,119.8359,2.0
2015-08-04 09:22:37.647000,119.8359,7.0
2015-08-04 09:22:37.647000,119.8359,2.0
2015-08-04 09:22:37.647000,119.8359,1.0
2015-08-04 09:22:37.647000,119.8359,2.0
2015-08-04 09:22:37.647000,119.8359,2.0
2015-08-04 09:22:37.647000,119.8359,2.0
2015-08-04 09:22:37.647000,119.8359,2.0
2015-08-04 09:22:37.647000,119.8359,1.0
2015-08-04 09:22:37.647000,119.8359,35.0
2015-08-04 09:22:37.647000,119.8359,12.0
2015-08-04 09:22:43.260000,119.8359,2.0
2015-08-04 09:22:43.260000,119.8359,1.0
2015-08-04 09:22:43.260000,119.8359,3.0
2015-08-04 09:22:43.260000,119.8359,2.0
2015-08-04 09:22:43.260000,119.8359,12.0
2015-08-04 09:22:43.260000,119.8359,15.0
2015-08-04 09:22:43.260000,119.8359,1.0
